term	reading	rank	meaning
夕食	ユウショク	3234	evening meal; dinner
歪む	ユガム	3235	to warp; to bend; to contort
不意	フイ	3236	sudden; abrupt; unexpected; unforeseen
刃	ハ	3237	edge (of a knife or sword); blade
布団	フトン	3238	futon; Japanese bedding consisting of a mattress and a duvet
天才	テンサイ	3239	genius; prodigy; natural gift
唐突	トウトツ	3240	abrupt; sudden
手に取る	テニトル	3241	
らしき	ラシキ	3242	
メイド	メイド	3243	
曲	キョク	3244	composition; piece of music; song; track (on a record)
親友	シンユウ	3245	close friend; bosom friend; buddy; crony; chum
出現	シュツゲン	3246	appearance; emergence; advent; arrival; showing up; coming to existence
風呂	フロ	3247	bath; bathing; bathtub; bathroom
任務	ニンム	3248	duty; function; office; mission; task; role
ドキドキ	ドキドキ	3249	thump-thump; bang-bang; pit-a-pat; pitapat; pitter-patter
膨らむ	フクラム	3250	to expand; to swell (out); to get big; to become inflated
下着	シタギ	3251	underwear; undergarment; underclothes; lingerie
奥さん	オクサン	3252	wife; your wife; his wife; married lady; madam
人影	ヒトカゲ	3253	figure of a person; figures of people
翼	ツバサ	3254	wing
社長	シャチョウ	3255	company president; manager; director
ダメージ	ダメージ	3256	
回避	カイヒ	3257	evasion; avoidance
大地	ダイチ	3258	earth; ground; the solid earth; the (vast) land
染める	ソメル	3259	to dye; to colour; to color
僅か	ワズカ	3260	a little; a few; small; slight; trifling; meagre; meager; narrow (margin)
頭上	ズジョウ	3261	overhead; above one's head; high in the sky
威力	イリョク	3262	power; might; authority; influence
遮る	サエギル	3263	to interrupt; to obstruct (a view, someone's way, etc.); to block (light, wind, etc.); to intercept; to cut off
振り回す	フリマワス	3264	to wield; to brandish; to flourish; to wave (about); to swing
ったく	ッタク	3265	
言う通り	イウトオリ	3266	
目を細める	メヲホソメル	3267	
サイズ	サイズ	3268	
攻める	セメル	3269	to attack; to assault; to assail
試験	シケン	3270	examination; exam; test
不機嫌	フキゲン	3271	pout; displeasure; ill humor; ill humour; sullenness
鍛える	キタエル	3272	to forge; to temper
朝食	チョウショク	3273	breakfast
途端	トタン	3274	just (now, at the moment, etc.); just as; in the act of; as soon as; at the moment that
地球	チキュウ	3275	Earth; the globe
かもしれん	カモシレン	3276	may; might; perhaps; may be; possibly
食堂	ショクドウ	3277	dining room; dining hall; cafeteria; canteen; messroom
気が付く	キガツク	3278	to notice; to realize; to realise; to become aware (of); to perceive; to sense; to suspect
店員	テンイン	3279	employee (of a store); shop assistant; clerk; salesperson
カード	カード	3280	
もしもし	モシモシ	3281	hello (e.g. on phone)
ぎゅっと	ギュット	3282	tightly (hold, squeeze, etc.); firmly; forcefully (e.g. push); hard
一発	イッパツ	3283	one shot; one charge; one explosion
うんうん	ウンウン	3284	
教会	キョウカイ	3285	church; congregation
やばい	ヤバイ	3286	dangerous; risky
フフ	フフ	3287	
まえ	マエ	3288	in front (of); before (e.g. a building)
お父様	オトウサマ	3289	
こいつら	コイツラ	3290	these guys; these fellows
子供たち	コドモタチ	3291	children; kids
かなぁ	カナァ	3292	I wonder
問い	トイ	3293	question; query
そりゃあ	ソリャア	3294	
ガキ	ガキ	3295	
コーヒー	コーヒー	3296	
ふふふ	フフフ	3297	
なんだと	ナンダト	3298	
あなたたち	アナタタチ	3299	
押しつける	オシツケル	3300	to press against; to push against; to force against
様	ザマ	3301	Mr; Mrs; Miss; Ms
小説	ショウセツ	3302	novel; story; (work of) fiction
眉	マユ	3303	eyebrow; eyebrows
小声	コゴエ	3304	low voice; whisper
拭う	ヌグウ	3305	to wipe; to mop up
防御	ボウギョ	3306	defense; defence; safeguard; protection
生き残る	イキノコル	3307	to survive
皿	サラ	3308	plate; dish; platter; disc
五十	ゴジュウ	3309	fifty; 50
バイト	バイト	3310	
彼氏	カレシ	3311	boyfriend
筋肉	キンニク	3312	muscle
紅茶	コウチャ	3313	black tea
衣装	イショウ	3314	clothing; costume; outfit; garment; dress
突き出す	ツキダス	3315	
罠	ワナ	3316	trap (for catching animals); snare
片付ける	カタヅケル	3317	to put in order; to tidy up; to clean up; to put away; to clear away
駆ける	カケル	3318	to run; to dash; to race
充分	ジュウブン	3319	enough; sufficient; plenty; adequate; satisfactory
被害者	ヒガイシャ	3320	victim; injured party; sufferer
卵	タマゴ	3321	eggs; egg; spawn; roe
何やら	ナニヤラ	3322	something; some kind of
カメラ	カメラ	3323	
混じる	マジル	3324	to be mixed; to be blended with; to be combined
空中	クウチュウ	3325	(in) the air; midair; sky
匹	ヒキ	3326	counter for small animals
生物	セイブツ	3327	living thing; organism; creature; life
合流	ゴウリュウ	3328	confluence (of rivers); flowing together; joining
足を止める	アシヲトメル	3329	
いやあ	イヤア	3330	
再会	サイカイ	3331	meeting again; reunion
羨ましい	ウラヤマシイ	3332	envious; jealous
二階	ニカイ	3333	second floor; upstairs
仕草	シグサ	3334	gesture; movement; action; behavior; behaviour; bearing; mannerism
回転	カイテン	3335	rotation; revolution; turn; spin
師匠	シショウ	3336	master; teacher
跳ねる	ハネル	3337	to jump; to leap; to prance; to spring up; to bound; to hop
お客様	オキャクサマ	3338	guest; visitor
待機	タイキ	3339	standing by; awaiting an opportunity; being on alert
ほんの少し	ホンノスコシ	3340	just a little
即座に	ソクザニ	3341	immediately; right away; on the spot
完了	カンリョウ	3342	completion; conclusion
手元	テモト	3343	at hand; on hand; nearby; close at hand
吸い込む	スイコム	3344	to inhale; to breathe in; to suck up; to soak up; to absorb
パーティー	パーティー	3345	
誕生日	タンジョウビ	3346	birthday
テスト	テスト	3347	
動作	ドウサ	3348	movement (of the body); action; motion; gesture
てめえ	テメエ	3349	
暴走	ボウソウ	3350	acting rashly; running wildly; behaving recklessly; rampaging
お風呂	オフロ	3351	bath
言い切る	イイキル	3352	to declare; to assert; to state definitively
気まずい	キマズイ	3353	
挑む	イドム	3354	to challenge to (a fight, game, etc.); to throw down the gauntlet; to contend for
枝	エダ	3355	branch; bough; limb; twig; sprig; spray
台詞	セリフ	3356	
帯びる	オビル	3357	to wear (a sword, decoration, etc.); to carry; to bear
女神	メガミ	3358	goddess
片方	カタホウ	3359	one side; one party; the other side; the other party
反論	ハンロン	3360	objection; refutation; rebuttal; counterargument
返答	ヘントウ	3361	reply; answer
黒髪	クロカミ	3362	
大会	タイカイ	3363	mass meeting; convention; rally; conference; assembly; gathering
互い	タガイ	3364	each other; one another
鎧	ヨロイ	3365	armor; armour
噛む	カム	3366	to bite
ちらり	チラリ	3367	fleeting (glimpse, glance, etc.)
袖	ソデ	3368	sleeve
装備	ソウビ	3369	equipment
異様	イヨウ	3370	strange; odd; peculiar; weird; bizarre; unusual
迷い	マヨイ	3371	hesitation; bewilderment; perplexity; doubt; indecision
戦力	センリョク	3372	war potential; military strength; fighting power
体勢	タイセイ	3373	posture; position; stance
後方	コウホウ	3374	rear; back; behind
見覚え	ミオボエ	3375	memory (of having seen something or someone before); remembrance; recollection; recognition
暗闇	クラヤミ	3376	darkness; the dark
輝き	カガヤキ	3377	brightness; brilliance; brilliancy; radiance; glitter
背を向ける	セヲムケル	3378	
屋上	オクジョウ	3379	rooftop
曖昧	アイマイ	3380	vague; ambiguous; unclear
システム	システム	3381	
お尻	オシリ	3382	
わっ	ワッ	3383	
のう	ノウ	3384	
無理やり	ムリヤリ	3385	forcibly; by force; against one's will
かすか	カスカ	3386	faint; dim; weak; slight; vague; indistinct; hazy
問いかける	トイカケル	3387	
でござる	デゴザル	3388	
はいる	ハイル	3389	to enter; to come in; to go in; to get in; to arrive
真っ白	マッシロ	3390	pure white
手のひら	テノヒラ	3391	palm (of the hand)
越し	ゴシ	3392	across; over; beyond; through; crossing
すなわち	スナワチ	3393	that is (to say); namely; i.e.
抱きつく	ダキツク	3394	
気のせい	キノセイ	3395	(just) one's imagination
見合わせる	ミアワセル	3396	to exchange glances; to look at each other
ボタン	ボタン	3397	
めちゃくちゃ	メチャクチャ	3398	absurd; unreasonable; nonsensical; preposterous; incoherent
イヤ	イヤ	3399	disliking; not wanting; unwilling (to do); reluctant
ふーん	フーン	3400	hmm; well ...; humph; huh; pshaw; pish
身分	ミブン	3402	(social) standing; status; position; rank
砂	スナ	3403	sand; grit; fine gravel
都市	トシ	3404	town; city; municipal; urban
第三	ダイサン	3405	
師	シ	3406	city
旦那	ダンナ	3407	master (of a house, shop, etc.)
不気味	ブキミ	3408	weird; eerie; ominous; creepy; uncanny; unearthly
美	ビ	3409	beauty
眼差し	マナザシ	3410	(a) look; gaze
歓声	カンセイ	3411	cheer; shout of joy
時刻	ジコク	3412	time; (the) hour
ケーキ	ケーキ	3413	
宙	チュウ	3414	space; air; midair
群れ	ムレ	3415	group; crowd; flock; herd; bevy; school; swarm; cluster (e.g. of stars); clump; pack (e.g. of dogs)
霧	キリ	3416	fog; mist
桜	サクラ	3417	cherry tree; cherry blossom; sakura
手首	テクビ	3418	wrist
後にする	アトニスル	3419	
素材	ソザイ	3420	ingredient; (raw) material; resource
精一杯	セイイッパイ	3421	the best one can do; one's best effort
広場	ヒロバ	3422	public square; square; plaza; piazza; forum
裾	スソ	3423	hem; (trouser) cuff; shirttail; bottom (of a kimono); train (of a dress)
叶う	カナウ	3424	to come true (of a dream, wish, etc.); to be realized; to be fulfilled; to be granted; to be answered (of a prayer); to be requited (of love)
何となく	ナントナク	3425	somehow; for some reason (or other); without knowing why
表示	ヒョウジ	3426	indication; expression; showing; manifestation; demonstration
万が一	マンガイチ	3427	(if) by some chance; by some possibility; in the unlikely event that; 10000 to 1
やけに	ヤケニ	3428	
嵐	アラシ	3429	storm; tempest
明かり	アカリ	3430	light; glow; gleam
復讐	フクシュウ	3431	revenge
妄想	モウソウ	3432	delusion; wild idea; (wild) fancy; (ridiculous) fantasy
変態	ヘンタイ	3433	transformation
宝石	ホウセキ	3434	gem; jewel; precious stone
具	グ	3435	tool; means
追い詰める	オイツメル	3436	
拘束	コウソク	3437	restriction; restraint; binding; constraint
そんな風に	ソンナフウニ	3438	
どうかな	ドウカナ	3439	
踏み込む	フミコム	3440	
かも知れない	カモシレナイ	3441	may; might; perhaps; may be; possibly
理屈	リクツ	3442	theory; reason; logic
滑る	スベル	3443	to slide; to glide; to skate; to ski
英雄	エイユウ	3444	hero; heroine; great person
先端	センタン	3445	pointed end; tip; point; cusp (of a leaf, crescent moon, etc.); apex (of a curve)
まあまあ	マアマア	3446	so-so; passable; not (so) bad; reasonable
ミス	ミス	3447	
針	ハリ	3448	needle; pin
前方	ゼンポウ	3449	ahead; forward; (in) front
窺う	ウカガウ	3450	to call on someone; to call at a place; to pay a visit; to wait on someone
聖	セイ	3451	system; organization; organisation; imperial command; laws; regulation; control; government; suppression; restraint; holding back; establishment
